title,price,currency
Apple iPhone 12 64,35.5,EUR
Apple iPhone XS Max - 64GB - Oro (Sbloccato) da riparare (leggi descrizione ),650.0,EUR
iphone x 64gb usato,140.0,EUR
Apple iPhone 11 - 64GB - Nero (Senza operatore) A2221 (CDMA + GSM),120.0,EUR
Nuova inserzioneApple iPhone SE 2020 64 GB GRIGIO SIDERALE / SPACE GREY,120.0,EUR
Iphone,100.0,EUR
Apple iphone 8 64Gb 256Gb nero silver CON GARANZIA USATO RICONDIZIONATO GRADO A,300.0,EUR
Shop on eBay,20.0,$
Apple iphone 8 64Gb 256Gb nero silver CON GARANZIA USATO RICONDIZIONATO GRADO A,,EUR
Apple iphone 7 32GB 128GB + GARANZIA rigenerato OTTIMO RICONDIZIONATO grado AB,149.0,EUR
Apple iPhone 1. Generazione 8GB 2G modello 2007 con SIM-lock originale vedi foto 280,247.0,EUR
Apple iphone 6S 32GB 64GB 128GB + GARANZIA USATO BUONO RICONDIZIONATO grado B,,EUR
ðŸ”¥Apple iphone 5C verdeðŸ”¥,5.0,EUR
Apple iPhone 12 - 64 Go - Blanc hs pour piece casser,24.5,EUR
Apple iPhone 12 - 64 GB - blu (sbloccato),81.36,EUR
iPhone SE (2017) Space Grey 32 Gb,75.0,EUR
Apple iPhone X - 64 GB - bianco (sbloccato). Retro in vetro incrinato. ,57.63,EUR
Apple iPhone 11 - 64GB - black  (Senza operatore) A2221 (CDMA + GSM),156.0,EUR
"Apple iPhone SE (2020) 64 GB rosso, NUOVO Altro",219.0,EUR
IPHONE SE 2016 32GB,60.0,EUR
Apple iPhone 11 Pro Max - 64 GB - argento (sbloccato) condizioni eccellenti,166.11,EUR
Apple iPhone 8 Nero + Apple iPhone 8 Plus,250.0,EUR
APPLE iphone 8 Plus 64Gb 256Gb nero silver molto buono ricondizionato grado B,,EUR
APPLE IPHONE 12 64GB Bianco White Condizione Buono-Ricondizionato,372.84,EUR
iphone se 2020 64gb,121.0,EUR
Nuova inserzioneiPhone 12 Pro Max 256 GB - blu sierra (sbloccato),519.79,EUR
Nuova inserzioneIPHONE 11 64GB NERO BATTERIA PERFETTA 81%,260.0,EUR
Apple IPhone Xr Bianco 64 Giga,149.99,EUR
iPhone 12 mini ,340.0,EUR
iphone 6 non funzionante 64 GB,1.0,EUR
Apple iPhone 11 - 128GB - Nero  ottime condizioni ,139.0,EUR
Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS Blue,647.9,EUR
IPHONE SE 2020 128GB NERO USATO IN OTTIME CONDIZIONI FOTO REALI BATTERIA 89%,180.0,EUR
IPHONE 11 PRO 64 256 GRAY- GREEN - SILVER - GOLD ECCELLENTE,,EUR
Apple iPhone XS 64 e 256 - Back e Silver NO FACE ID,185.0,EUR
iPhone 14 Pro Max 1 Tb - Nero siderale - Nuovo e sigillato,,EUR
"APPLE IPHONE 12 MINI 64GB NERO ECCELLENTE, GARANZIA 12 MESI + ACCESSORI",369.0,EUR
"APPLE IPHONE 11 64GB ROSSO  PROBLEMA WIFI, NO SIM, FACE ID, LEGGI INSERZIONE",149.0,EUR
Apple iPhone 6S 32GB 64GB Grigio Rosa Oro Argento Grey Rose Gold Silver Grado A,112.0,EUR
APPLE IPHONE 8 64GB SPACE GRAY MQ6G2QL/A SMARTPHONE RICONDIZIONATO MOLTO BUONO,139.0,EUR
IPHONE 12 128GB Black A2403 Grado Estetico ECCELLENTE Usato Fatturabile,350.0,EUR
IPHONE XR 256GB BIANCO USATO IN OTTIMO STATO FOTO REALE BATTERIA NUOVA STATO100%,260.0,EUR
lotto iphone rotti,100.0,EUR
Apple iPhone XS Max 64GB Grigio Siderale - Sbloccato - Leggere descrizione!,91.0,EUR
Apple iPhone 11 (PRODOTTO) ROSSO - 64 GB (sbloccato) A2221 (CDMA + GSM),33.9,EUR
Apple iPhone 11 64GB RED (6 months warranty) EXCELLENT,265.0,EUR
IPHONE 11 RICONDIZIONATO BUONO 64-128GB APPLE,,EUR
"Apple iPhone 12 - 64 GB, 128 GB - viola, blu, verde, nero - molto buono",,EUR
iPhone XS 256gb grigio,250.0,EUR
Apple iPhone 11 Pro 256 GB argento danneggiato - 82% - sbloccato / Riparazioni /AT743,57.63,EUR
Smartphone Apple IPHONE 14 PRO 256GB SPACE BLACK (Nuovo Garanzia Italia),,EUR
Nuova inserzioneiPhone 12 pro max 256g,650.0,EUR
Apple iPhone 12 Pro Max - 128 GB - grafite - sbloccato - vedi descrizione,288.14,EUR
Apple iPhone 12 Pro - 128GB - Blu Pacifico (Sbloccato),600.0,EUR
iphone 12 pro 128gb,427.0,EUR
IPHONE XR 64GB BIANCO USATO IN OTTIMO STATO FOTO REALE BATTERIA 80%,197.9,EUR
"Apple iPhone XS 64Gb Space Grey * Faulty Device * Problema FACE ID, Riga Display",79.0,EUR
Apple iPhone XS Max - 64 GB - grigio siderale sbloccato ricambi riparazione,70.06,EUR
Apple iPhone 13 mini 5G 128GB NUOVO Originale Smartphone (PRODUCT)RED,659.9,EUR
Apple iPhone 12 Pro - 128GB - Blu Pacifico Batteria 100% come NUOVO!,600.0,EUR
Apple iPhone 13 mini 5G 128GB NUOVO Originale Smartphone BIANCO STARLIGHT,659.9,EUR
Lotto 2 IPhone 3g 8gb e 16gb,15.0,EUR
IPHONE 7 RICONDIZIONATO BUONO 32-128GB APPLE,104.9,EUR
APPLE iPHONE 12 PRO 128GB - 256GB - 512GB MOLTO BUONO,,EUR
Apple iPhone XR - 64GB - Corallo (Sbloccato),190.0,EUR
"APPLE IPHONE 12 PRO 128GB BLU, DISPLAY SOSTITUITO + ACCESSORI, LEGGI INSERZIONE",469.0,EUR
Apple iPhone X - 64 GB - grigio siderale - sbloccato - vedi descrizione,56.5,EUR
IPhone 7 32GB In Ottimo Stato Funzionante,21.5,EUR
Nuova inserzioneApple iPhone X 256 GB grigio siderale sbloccato,70.06,EUR
iphone 11 pro 64gb usato,206.0,EUR
Nuova inserzioneApple iPhone SE - 16 GB - argento (sbloccato) A1723 98% capacitÃ  batteria,1.12,EUR
Apple iPhone XR - 64 GB - blu - sbloccato - vedi descrizione,45.2,EUR
iphone xr 64gb usato,109.61,EUR
Nuova inserzioneApple iPhone Nero  11 64 GB OTTIMO SCATOLA INCLUSA OTTIMO PRESTAZIONI OTTIME ,126.0,EUR
Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS White ,249.99,EUR
Apple iPhone 13 - - blu sierra (sbloccato),647.9,EUR
Nuova inserzioneApple iPhone 12 - 64 GB - nero - sbloccato,350.29,EUR
Apple iPhone 8 Plus - 64GB - Argento,57.63,EUR
iPhone 12 Pro 256 GB - Blu pacifico 30 giorni di reso,84.0,EUR
Apple iPhone 12 Pro - 128GB - Blu Pacifico (Sbloccato),689.0,EUR
iphone xs 64gb usato,463.0,EUR
APPLE iPhone 7 32GB 128GB + garanzia molto buono ricondizionato grado B,180.0,EUR
IPHONE SE 2020 RICONDIZIONATO 64 256GB ECCELLENTE BIANCO NERO ROSSO RIGENERATO,,EUR
